id,Clade,name,ver6.1,ver3.1,Note,Reference
Mp7g19170,MpClade1,MpDOXC38,Mp7g19170,Mapoly0067s0061,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp7g17370,MpClade2,MpDOXC37,Mp7g17370,Mapoly0051s0074,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp1g27270,MpClade3,MpDOXC5,Mp1g27270,Mapoly0002s0151,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp1g11700,MpClade4,MpDOXC2,Mp1g11700,Mapoly0014s0057,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g04420,MpClade4,MpDOXC7,Mp2g04420,Mapoly0031s0098,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g01290,MpClade4,MpDOXC14,Mp3g01290,Mapoly0007s0123,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g19390,MpClade4,MpDOXC20,Mp3g19390,Mapoly0049s0095,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g25160,MpClade4,MpDOXC22,Mp3g25160,Mapoly0100s0029,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g04680,MpClade4,MpDOXC24,Mp4g04680,Mapoly0044s0006,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g09920,MpClade4,MpDOXC25,Mp4g09920,Mapoly0132s0035,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp5g00520,MpClade4,MpDOXC28,Mp5g00520,Mapoly0078s0051,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g01210,MpClade4,MpDOXC31,Mp6g01210,Mapoly0052s0083,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp7g16190,MpClade4,MpDOXC36,Mp7g16190,Mapoly0111s0001,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g09030,unknown,MpDOXC32,Mp6g09030,Mapoly0060s0016,,Pfam annotation by InterProScan
