id,Clade,name,ver6.1,ver3.1,Note,Reference
Mp2g24650,Mp-specific,MpUGT12,Mp2g24650,Mapoly0207s0003,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g24660,Mp-specific,MpUGT13,Mp2g24660,Mapoly0207s0004,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g03440,Mp-specific,MpUGT14,Mp3g03440,Mapoly0022s0188,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g17090,Mp-specific,MpUDGT,Mp3g17090,Mapoly0039s0085,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g20540,Mp-specific,MpUGT15,Mp3g20540,Mapoly0149s0020,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g24270,Mp-specific,MpUGT15-like1,Mp3g24270,Mapoly0121s0001,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g06960,Mp-specific,MpUGT16,Mp4g06960,Mapoly0125s0041,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g06970,Mp-specific,MpUGT17,Mp4g06970,Mapoly0125s0042,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g16850,Mp-specific,MpUGT18,Mp4g16850,Mapoly0148s0035,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g16860,Mp-specific,MpUGT19,Mp4g16860,Mapoly0148s0034,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g17000,Mp-specific,MpUGT20,Mp4g17000,Mapoly0148s0020,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g19080,Mp-specific,MpUGT21,Mp4g19080,Mapoly0164s0002,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g20020,Mp-specific,MpUGT22,Mp4g20020,Mapoly0116s0004,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp5g16980,Mp-specific,MpUGT23,Mp5g16980,Mapoly0117s0008,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp5g20210,Mp-specific,MpUGT24,Mp5g20210,Mapoly0190s0017,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g13500,Mp-specific,MpUGT25,Mp6g13500,Mapoly0047s0001,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g15860,Mp-specific,MpUGT26,Mp6g15860,Mapoly0056s0098,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g15870,Mp-specific,MpUGT27,Mp6g15870,Mapoly0056s0099,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g15880,Mp-specific,MpUGT28,Mp6g15880,Mapoly0056s0100,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g20490,Mp-specific,MpUGT30,Mp6g20490,Mapoly0045s0015,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp7g01270,Mp-specific,MpUGT31,Mp7g01270,Mapoly0099s0001,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp7g18730,Mp-specific,MpUGT32,Mp7g18730,Mapoly0067s0104,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp8g01930,Mp-specific,MpUGT33,Mp8g01930,Mapoly0064s0007,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp8g04960,Mp-specific,MpUGT15-like2,Mp8g04960,Mapoly0020s0173,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp8g06040,Mp-specific,MpUGT34,Mp8g06040,Mapoly0013s0186,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp8g09770,Mp-specific,MpUGT35,Mp8g09770,Mapoly0008s0244,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp8g10910,Mp-specific,MpUGT36,Mp8g10910,Mapoly0008s0131,,
Mp8g16750,Mp-specific,MpUGT37,Mp8g16750,Mapoly0030s0008,,
Mpzg01360,Mp-specific,MpUGT38,Mpzg01360,Mapoly0109s0002,,
